OBJECTID,CountyName,NumberReportedCases,Deaths,Shape__Area,Shape__Length,LastUpdated,CaseRate,Hospitalizations
1,Appling,814,19,14288852892.6708,692276.788027823,1:00 PM on 08/19/2020,4385.54,70
2,Atkinson,361,3,9607163877.8916,561550.708746432,1:00 PM on 08/19/2020,4333.73,41
3,Bacon,473,8,7970469976.96643,432344.377228994,1:00 PM on 08/19/2020,4147.67,35
4,Baker,73,3,9724409939.98926,618539.151670173,1:00 PM on 08/19/2020,2342.75,16
5,Baldwin,1201,45,7479383021.07007,519105.827250345,1:00 PM on 08/19/2020,2703.25,110
6,Banks,307,6,6520249950.24683,344568.895604144,1:00 PM on 08/19/2020,1536.38,46
7,Barrow,1466,34,4541805235.14868,360770.956386125,1:00 PM on 08/19/2020,1697.09,191
8,Bartow,2083,65,13104464971.6021,515181.299357135,1:00 PM on 08/19/2020,1880.46,232
9,Ben Hill,550,7,7078534739.08337,472161.396976165,1:00 PM on 08/19/2020,3304.3,52
10,Berrien,340,1,12765482610.7267,648550.564113728,1:00 PM on 08/19/2020,1763.85,16
11,Bibb,4262,85,7119794208.67725,466465.212787501,1:00 PM on 08/19/2020,2801.18,652
12,Bleckley,286,11,6108769187.38782,373827.783004902,1:00 PM on 08/19/2020,2227.76,20
13,Brantley,277,8,12480406823.2305,693409.103952261,1:00 PM on 08/19/2020,1442.56,21
14,Brooks,440,18,13876212811.8419,720744.483819259,1:00 PM on 08/19/2020,2797.74,47
15,Bryan,749,9,12687557825.5225,915738.850152239,1:00 PM on 08/19/2020,1913.79,61
16,Bulloch,1416,18,19218512072.0344,760500.36230906,1:00 PM on 08/19/2020,1781.87,99
17,Burke,573,7,23261019123.2007,841937.47173583,1:00 PM on 08/19/2020,2564.68,70
18,Butts,515,40,5241415480.48975,399989.855177083,1:00 PM on 08/19/2020,2045.76,45
19,Calhoun,215,7,7918211483.41736,490199.402046715,1:00 PM on 08/19/2020,3403.51,44
20,Camden,873,7,21824265784.6295,835588.906096014,1:00 PM on 08/19/2020,1618.95,30
21,Candler,284,10,6943003979.32568,350898.036525355,1:00 PM on 08/19/2020,2620.65,12
22,Carroll,2082,54,14043685953.8137,575277.623876277,1:00 PM on 08/19/2020,1733.28,137
23,Catoosa,727,17,4529337381.86987,330534.374073938,1:00 PM on 08/19/2020,1057.13,57
24,Charlton,499,4,21830159290.2624,1046678.187148,1:00 PM on 08/19/2020,3765.75,17
25,Chatham,6371,101,17659825396.8785,775201.623971301,1:00 PM on 08/19/2020,2180.54,578
26,Chattahoochee,821,2,7001272007.50549,477940.03359368,1:00 PM on 08/19/2020,7637.92,11
27,Chattooga,379,4,8741723337.19092,424592.140153987,1:00 PM on 08/19/2020,1530.32,19
28,Cherokee,4065,68,12108166459.791,505643.176957818,1:00 PM on 08/19/2020,1524.66,382
29,Clarke,2305,21,3374153964.9668,300381.155495757,1:00 PM on 08/19/2020,1776.1,155
30,Clay,106,2,6049504107.65851,443299.435227541,1:00 PM on 08/19/2020,3712.78,7
31,Clayton,5640,117,4020807845.625,381991.164070511,1:00 PM on 08/19/2020,1850.16,552
32,Clinch,217,4,22980245532.1849,748974.083254589,1:00 PM on 08/19/2020,3260.22,17
33,Cobb,15086,349,9599874020.58325,436301.241418214,1:00 PM on 08/19/2020,1908.2,1492
